path,transcript
C:\Users\Srijan\.cache\kagglehub\datasets\uwrfkaggler\ravdess-emotional-speech-audio\versions\1\Actor_01\03-01-01-01-01-01-01.wav,Kids are talking by the door.
C:\Users\Srijan\.cache\kagglehub\datasets\uwrfkaggler\ravdess-emotional-speech-audio\versions\1\Actor_01\03-01-01-01-01-02-01.wav,Kids are talking by the door.
C:\Users\Srijan\.cache\kagglehub\datasets\uwrfkaggler\ravdess-emotional-speech-audio\versions\1\Actor_01\03-01-01-01-02-01-01.wav,Dogs are sitting by the door.
C:\Users\Srijan\.cache\kagglehub\datasets\uwrfkaggler\ravdess-emotional-speech-audio\versions\1\Actor_01\03-01-01-01-02-02-01.wav,Dogs are sitting by the door.
C:\Users\Srijan\.cache\kagglehub\datasets\uwrfkaggler\ravdess-emotional-speech-audio\versions\1\Actor_01\03-01-02-01-01-01-01.wav,Kids are talking by the door.
C:\Users\Srijan\.cache\kagglehub\datasets\uwrfkaggler\ravdess-emotional-speech-audio\versions\1\Actor_01\03-01-02-01-01-02-01.wav,Kids are talking by the door.
C:\Users\Srijan\.cache\kagglehub\datasets\uwrfkaggler\ravdess-emotional-speech-audio\versions\1\Actor_01\03-01-02-01-02-01-01.wav,Dogs are sitting by the door.
C:\Users\Srijan\.cache\kagglehub\datasets\uwrfkaggler\ravdess-emotional-speech-audio\versions\1\Actor_01\03-01-02-01-02-02-01.wav,Dogs are sitting by the door.
C:\Users\Srijan\.cache\kagglehub\datasets\uwrfkaggler\ravdess-emotional-speech-audio\versions\1\Actor_01\03-01-02-02-01-01-01.wav,Kids are talking by the door.
C:\Users\Srijan\.cache\kagglehub\datasets\uwrfkaggler\ravdess-emotional-speech-audio\versions\1\Actor_01\03-01-02-02-01-02-01.wav,Kids are talking by the door.
C:\Users\Srijan\.cache\kagglehub\datasets\uwrfkaggler\ravdess-emotional-speech-audio\versions\1\Actor_01\03-01-02-02-02-01-01.wav,Dogs are sitting by the door.
C:\Users\Srijan\.cache\kagglehub\datasets\uwrfkaggler\ravdess-emotional-speech-audio\versions\1\Actor_01\03-01-02-02-02-02-01.wav,Dogs are sitting by the door.
C:\Users\Srijan\.cache\kagglehub\datasets\uwrfkaggler\ravdess-emotional-speech-audio\versions\1\Actor_01\03-01-03-01-01-01-01.wav,Kids are talking by the door.
C:\Users\Srijan\.cache\kagglehub\datasets\uwrfkaggler\ravdess-emotional-speech-audio\versions\1\Actor_01\03-01-03-01-01-02-01.wav,Kids are talking by the door.
C:\Users\Srijan\.cache\kagglehub\datasets\uwrfkaggler\ravdess-emotional-speech-audio\versions\1\Actor_01\03-01-03-01-02-01-01.wav,Dogs are sitting by the door.
C:\Users\Srijan\.cache\kagglehub\datasets\uwrfkaggler\ravdess-emotional-speech-audio\versions\1\Actor_01\03-01-03-01-02-02-01.wav,Dogs are sitting by the door.
C:\Users\Srijan\.cache\kagglehub\datasets\uwrfkaggler\ravdess-emotional-speech-audio\versions\1\Actor_01\03-01-03-02-01-01-01.wav,Kids are talking by the door.
C:\Users\Srijan\.cache\kagglehub\datasets\uwrfkaggler\ravdess-emotional-speech-audio\versions\1\Actor_01\03-01-03-02-01-02-01.wav,Kids are talking by the door.
C:\Users\Srijan\.cache\kagglehub\datasets\uwrfkaggler\ravdess-emotional-speech-audio\versions\1\Actor_01\03-01-03-02-02-01-01.wav,Dogs are sitting by the door.
C:\Users\Srijan\.cache\kagglehub\datasets\uwrfkaggler\ravdess-emotional-speech-audio\versions\1\Actor_01\03-01-03-02-02-02-01.wav,Dogs are sitting by the door.
C:\Users\Srijan\.cache\kagglehub\datasets\uwrfkaggler\ravdess-emotional-speech-audio\versions\1\Actor_01\03-01-04-01-01-01-01.wav,Kids are talking by the door.
C:\Users\Srijan\.cache\kagglehub\datasets\uwrfkaggler\ravdess-emotional-speech-audio\versions\1\Actor_01\03-01-04-01-01-02-01.wav,Kids are talking by the door.
C:\Users\Srijan\.cache\kagglehub\datasets\uwrfkaggler\ravdess-emotional-speech-audio\versions\1\Actor_01\03-01-04-01-02-01-01.wav,Dogs are sitting by the door.
C:\Users\Srijan\.cache\kagglehub\datasets\uwrfkaggler\ravdess-emotional-speech-audio\versions\1\Actor_01\03-01-04-01-02-02-01.wav,Dogs are sitting by the door.
C:\Users\Srijan\.cache\kagglehub\datasets\uwrfkaggler\ravdess-emotional-speech-audio\versions\1\Actor_01\03-01-04-02-01-01-01.wav,Kids are talking by the door.
